91.110.209.60:443#HK [优选高速] [16ms 37Mbps]
91.110.174.204:8443#HK [优选高速] [31ms 30Mbps]
193.134.211.209:443#HK [优选高速] [31ms 24Mbps]
202.155.155.245:443#HK [优选高速] [31ms 20Mbps]
122.10.119.252:443#HK [优选高速] [31ms 15Mbps]
129.204.159.155:2053#HK [优选高速] [31ms 14Mbps]
139.84.150.190:8443#IN [优选高速] [125ms 13Mbps]
191.222.223.82:443#JP [优选高速] [78ms 14Mbps]
142.91.109.197:443#JP [优选高速] [78ms 14Mbps]
191.223.221.0:443#JP [优选高速] [78ms 13Mbps]
142.91.109.150:443#JP [优选高速] [79ms 12Mbps]
54.180.141.246:443#KR [优选高速] [78ms 15Mbps]
13.124.169.29:443#KR [优选高速] [78ms 14Mbps]
119.28.162.39:8443#KR [优选高速] [78ms 14Mbps]
13.125.40.229:443#KR [优选高速] [78ms 14Mbps]
13.125.71.205:443#KR [优选高速] [78ms 13Mbps]
13.125.127.161:443#KR [优选高速] [79ms 15Mbps]
152.67.208.47:443#KR [优选高速] [93ms 14Mbps]
202.61.75.68:2053#MY [优选高速] [78ms 15Mbps]
172.197.160.176:443#MY [优选高速] [94ms 14Mbps]
139.162.33.165:443#SG [优选高速] [62ms 18Mbps]
134.209.103.4:443#SG [优选高速] [62ms 18Mbps]
178.128.58.101:443#SG [优选高速] [62ms 16Mbps]
139.59.115.38:443#SG [优选高速] [62ms 13Mbps]
47.82.155.79:443#SG [优选高速] [62ms 12Mbps]
103.224.84.70:443#TH [优选高速] [125ms 13Mbps]
157.85.105.126:443#TH [优选高速] [1140ms 15Mbps]
211.72.147.91:443#TW [优选高速] [62ms 18Mbps]
203.69.11.79:443#TW [优选高速] [62ms 18Mbps]
203.69.11.80:443#TW [优选高速] [62ms 17Mbps]
203.69.11.81:443#TW [优选高速] [62ms 17Mbps]
202.148.221.171:443#TW [优选高速] [62ms 14Mbps]
220.132.74.165:443#TW [优选高速] [78ms 15Mbps]
114.32.9.249:443#TW [优选高速] [78ms 12Mbps]
103.70.115.106:8443#VN [优选高速] [141ms 17Mbps]
